Occupation,Census16_total_working,ANZSCO_4dig,ANZSCO_3dig,ANZSCO_2dig,ANZSCO_1dig,ANZSCO_group,ANZSCO_group_name,DNscore_onet,DNscore_manual
"Managers, nfd",36635,1000,1000,1000,1000,1,Managers,0.538912456946474,0.5782979831293754
"Chief Executives, General Managers and Legislators, nfd",609,1110,1110,1100,1000,1,Managers,1,1
Chief Executives and Managing Directors,58325,1111,1110,1100,1000,1,Managers,1,1
General Managers,52270,1112,1110,1100,1000,1,Managers,1,1
Legislators,2073,1113,1110,1100,1000,1,Managers,1,1
"Farmers and Farm Managers, nfd",10468,1210,1210,1200,1000,1,Managers,0,0.25
Aquaculture Farmers,1658,1211,1210,1200,1000,1,Managers,0,0.25
Crop Farmers,40171,1212,1210,1200,1000,1,Managers,0,0.25
Livestock Farmers,66082,1213,1210,1200,1000,1,Managers,0,0.25
Mixed Crop and Livestock Farmers,23045,1214,1210,1200,1000,1,Managers,0,0.25
"Specialist Managers, nfd",24196,1300,1300,1300,1000,1,Managers,0.7286327441872329,0.743070991030605
"Advertising, Public Relations and Sales Managers",111086,1311,1310,1300,1000,1,Managers,1,1
"Business Administration Managers, nfd",5942,1320,1320,1300,1000,1,Managers,1,0.9792000212457603
Corporate Services Managers,7199,1321,1320,1300,1000,1,Managers,1,1
Finance Managers,47012,1322,1320,1300,1000,1,Managers,1,1
Human Resource Managers,45347,1323,1320,1300,1000,1,Managers,1,1
Policy and Planning Managers,21268,1324,1320,1300,1000,1,Managers,1,1
Research and Development Managers,10965,1325,1320,1300,1000,1,Managers,1,0.75
"Construction, Distribution and Production Managers, nfd",2522,1330,1330,1300,1000,1,Managers,0.2938736849849187,0.3823371864194806
Construction Managers,92380,1331,1330,1300,1000,1,Managers,0,0.25
Engineering Managers,15421,1332,1330,1300,1000,1,Managers,1,0.75
"Importers, Exporters and Wholesalers",15940,1333,1330,1300,1000,1,Managers,1,1
Manufacturers,13085,1334,1330,1300,1000,1,Managers,0,0
Production Managers,48109,1335,1330,1300,1000,1,Managers,0,0
"Supply, Distribution and Procurement Managers",32553,1336,1330,1300,1000,1,Managers,1,1
"Education, Health and Welfare Services Managers, nfd",886,1340,1340,1300,1000,1,Managers,0.8333780480534192,0.72891700947952065
Child Care Centre Managers,11179,1341,1340,1300,1000,1,Managers,0,1
Health and Welfare Services Managers,24250,1342,1340,1300,1000,1,Managers,1,0.25
School Principals,20616,1343,1340,1300,1000,1,Managers,1,1
Other Education Managers,11047,1344,1340,1300,1000,1,Managers,1,1
ICT Managers,59130,1351,1350,1300,1000,1,Managers,1,1
"Miscellaneous Specialist Managers, nfd",299,1390,1390,1300,1000,1,Managers,0.80891626576518,0.80891626576518
Commissioned Officers (Management),8818,1391,1390,1300,1000,1,Managers,0,0
Senior Non-commissioned Defence Force Members,2939,1392,1390,1300,1000,1,Managers,0,0
Other Specialist Managers,49771,1399,1390,1300,1000,1,Managers,1,1
"Hospitality, Retail and Service Managers, nfd",2121,1400,1400,1400,1000,1,Managers,0.2860136255199703,0.30545601836513103
"Accommodation and Hospitality Managers, nfd",1391,1410,1410,1400,1000,1,Managers,0,0.16712615853590201
Cafe and Restaurant Managers,53892,1411,1410,1400,1000,1,Managers,0,0.25
Caravan Park and Camping Ground Managers,3298,1412,1410,1400,1000,1,Managers,0,0
Hotel and Motel Managers,19943,1413,1410,1400,1000,1,Managers,0,0
Licensed Club Managers,5758,1414,1410,1400,1000,1,Managers,0,0.25
Other Accommodation and Hospitality Managers,6338,1419,1410,1400,1000,1,Managers,0,0
Retail Managers,184751,1421,1420,1400,1000,1,Managers,0,0
"Miscellaneous Hospitality, Retail and Service Managers, nfd",1130,1490,1490,1400,1000,1,Managers,0.8515571836043262,0.8006935294713828
"Amusement, Fitness and Sports Centre Managers",10580,1491,1490,1400,1000,1,Managers,1,1
Call or Contact Centre and Customer Service Managers,37849,1492,1490,1400,1000,1,Managers,1,1
Conference and Event Organisers,20505,1493,1490,1400,1000,1,Managers,0,0.25
Transport Services Managers,16203,1494,1490,1400,1000,1,Managers,1,0.25
"Other Hospitality, Retail and Service Managers",52997,1499,1490,1400,1000,1,Managers,1,1
"Professionals, nfd",38159,2000,2000,2000,2000,2,Professionals,0.7059730271708542,0.6702988067548495
"Arts and Media Professionals, nfd",535,2100,2100,2100,2000,2,Professionals,0.6705178699834276,0.16422859248853802
"Arts Professionals, nfd",2703,2110,2110,2100,2000,2,Professionals,0.5351258432797094,0.08684159314997406
"Actors, Dancers and Other Entertainers",5958,2111,2110,2100,2000,2,Professionals,0,0
Music Professionals,8375,2112,2110,2100,2000,2,Professionals,0,0
Photographers,11144,2113,2110,2100,2000,2,Professionals,1,0
Visual Arts and Crafts Professionals,5355,2114,2110,2100,2000,2,Professionals,1,0.5
"Media Professionals, nfd",2433,2120,2120,2100,2000,2,Professionals,0.7702536492539045,0.22123529275254694
"Artistic Directors, and Media Producers and Presenters",9900,2121,2120,2100,2000,2,Professionals,0,0
"Authors, and Book and Script Editors",4744,2122,2120,2100,2000,2,Professionals,1,1
"Film, Television, Radio and Stage Directors",9290,2123,2120,2100,2000,2,Professionals,1,0
Journalists and Other Writers,19157,2124,2120,2100,2000,2,Professionals,1,0.25
"Business, Human Resource and Marketing Professionals, nfd",2584,2200,2200,2200,2000,2,Professionals,0.9349562097990219,0.9393057417330888
"Accountants, Auditors and Company Secretaries, nfd",434,2210,2210,2200,2000,2,Professionals,1,1
Accountants,146399,2211,2210,2200,2000,2,Professionals,1,1
"Auditors, Company Secretaries and Corporate Treasurers",17924,2212,2210,2200,2000,2,Professionals,1,1
"Financial Brokers and Dealers, and Investment Advisers, nfd",959,2220,2220,2200,2000,2,Professionals,0.6604972375690608,0.9434910220994475
Financial Brokers,24580,2221,2220,2200,2000,2,Professionals,0,1
Financial Dealers,16365,2222,2220,2200,2000,2,Professionals,1,0.75
Financial Investment Advisers and Managers,31455,2223,2220,2200,2000,2,Professionals,1,1
"Human Resource and Training Professionals, nfd",334,2230,2230,2200,2000,2,Professionals,1,0.9394693255598251
Human Resource Professionals,55323,2231,2230,2200,2000,2,Professionals,1,1
ICT Trainers,1874,2232,2230,2200,2000,2,Professionals,1,1
Training and Development Professionals,18273,2233,2230,2200,2000,2,Professionals,1,0.75
"Information and Organisation Professionals, nfd",701,2240,2240,2200,2000,2,Professionals,0.9089399678306439,0.890891031865452
"Actuaries, Mathematicians and Statisticians",5615,2241,2240,2200,2000,2,Professionals,1,1
"Archivists, Curators and Records Managers",5718,2242,2240,2200,2000,2,Professionals,1,0
Economists,2899,2243,2240,2200,2000,2,Professionals,1,1
Intelligence and Policy Analysts,16252,2244,2240,2200,2000,2,Professionals,1,1
Land Economists and Valuers,12285,2245,2240,2200,2000,2,Professionals,0,1
Librarians,9002,2246,2240,2200,2000,2,Professionals,1,0
Management and Organisation Analysts,62973,2247,2240,2200,2000,2,Professionals,1,1
Other Information and Organisation Professionals,20167,2249,2240,2200,2000,2,Professionals,1,1
"Sales, Marketing and Public Relations Professionals, nfd",1539,2250,2250,2200,2000,2,Professionals,1,0.9088447505094998
Advertising and Marketing Professionals,61835,2251,2250,2200,2000,2,Professionals,1,1
ICT Sales Professionals,15156,2252,2250,2200,2000,2,Professionals,1,0.75
Public Relations Professionals,15483,2253,2250,2200,2000,2,Professionals,1,1
Technical Sales Representatives,29214,2254,2250,2200,2000,2,Professionals,1,0.75
"Design, Engineering, Science and Transport Professionals, nfd",725,2300,2300,2300,2000,2,Professionals,0.65766071181364,0.6464099206884985
"Air and Marine Transport Professionals, nfd",18,2310,2310,2300,2000,2,Professionals,0,0
Air Transport Professionals,13005,2311,2310,2300,2000,2,Professionals,0,0
Marine Transport Professionals,7841,2312,2310,2300,2000,2,Professionals,0,0
"Architects, Designers, Planners and Surveyors, nfd",6050,2320,2320,2300,2000,2,Professionals,0.7605365975310695,0.9077502182135584
Architects and Landscape Architects,20060,2321,2320,2300,2000,2,Professionals,1,1
Surveyors and Spatial Scientists,11837,2322,2320,2300,2000,2,Professionals,0,0.25
"Fashion, Industrial and Jewellery Designers",7479,2323,2320,2300,2000,2,Professionals,1,1
"Graphic and Web Designers, and Illustrators",36601,2324,2320,2300,2000,2,Professionals,1,1
Interior Designers,9051,2325,2320,2300,2000,2,Professionals,1,1
Urban and Regional Planners,11208,2326,2320,2300,2000,2,Professionals,0,1
"Engineering Professionals, nfd",13844,2330,2330,2300,2000,2,Professionals,0.6631346482305458,0.8401888578235659
Chemical and Materials Engineers,2949,2331,2330,2300,2000,2,Professionals,0,0.75
Civil Engineering Professionals,35888,2332,2330,2300,2000,2,Professionals,1,0.75
Electrical Engineers,13804,2333,2330,2300,2000,2,Professionals,1,1
Electronics Engineers,4637,2334,2330,2300,2000,2,Professionals,1,1
"Industrial, Mechanical and Production Engineers",21375,2335,2330,2300,2000,2,Professionals,0,1
Mining Engineers,6641,2336,2330,2300,2000,2,Professionals,0,0.25
Other Engineering Professionals,6627,2339,2330,2300,2000,2,Professionals,1,1
"Natural and Physical Science Professionals, nfd",7484,2340,2340,2300,2000,2,Professionals,0.6907404824989541,0.22037024124947707
Agricultural and Forestry Scientists,5438,2341,2340,2300,2000,2,Professionals,1,0.25
"Chemists, and Food and Wine Scientists",6605,2342,2340,2300,2000,2,Professionals,0,0.25
Environmental Scientists,16041,2343,2340,2300,2000,2,Professionals,1,0.25
"Geologists, Geophysicists and Hydrogeologists",6811,2344,2340,2300,2000,2,Professionals,1,0.25
Life Scientists,4966,2345,2340,2300,2000,2,Professionals,1,0.25
Medical Laboratory Scientists,16277,2346,2340,2300,2000,2,Professionals,1,0.25
Veterinarians,8499,2347,2340,2300,2000,2,Professionals,0,0
Other Natural and Physical Science Professionals,7073,2349,2340,2300,2000,2,Professionals,0,0.25
"Education Professionals, nfd",5813,2400,2400,2400,2000,2,Professionals,1,0.8972009267739564
"School Teachers, nfd",17858,2410,2410,2400,2000,2,Professionals,1,0.8580120489142803
Early Childhood (Pre-primary School) Teachers,27130,2411,2410,2400,2000,2,Professionals,1,0
Primary School Teachers,148498,2412,2410,2400,2000,2,Professionals,1,1
Middle School Teachers (Aus) / Intermediate School Teachers (NZ),708,2413,2410,2400,2000,2,Professionals,1,1
Secondary School Teachers,137346,2414,2410,2400,2000,2,Professionals,1,1
Special Education Teachers,20290,2415,2410,2400,2000,2,Professionals,1,0
"Tertiary Education Teachers, nfd",1188,2420,2420,2400,2000,2,Professionals,1,1
University Lecturers and Tutors,49227,2421,2420,2400,2000,2,Professionals,1,1
Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ),30893,2422,2420,2400,2000,2,Professionals,1,1
"Miscellaneous Education Professionals, nfd",841,2490,2490,2400,2000,2,Professionals,1,1
Education Advisers and Reviewers,9997,2491,2490,2400,2000,2,Professionals,1,1
Private Tutors and Teachers,35122,2492,2490,2400,2000,2,Professionals,1,1
Teachers of English to Speakers of Other Languages,6856,2493,2490,2400,2000,2,Professionals,1,1
"Health Professionals, nfd",2062,2500,2500,2500,2000,2,Professionals,0.06835218492197591,0.07496213706228816
"Health Diagnostic and Promotion Professionals, nfd",191,2510,2510,2500,2000,2,Professionals,0,0.08637191732193808
Nutrition Professionals,4871,2511,2510,2500,2000,2,Professionals,0,0.75
Medical Imaging Professionals,15887,2512,2510,2500,2000,2,Professionals,0,0
Occupational and Environmental Health Professionals,19899,2513,2510,2500,2000,2,Professionals,0,0
Optometrists and Orthoptists,5033,2514,2510,2500,2000,2,Professionals,0,0
Pharmacists,23372,2515,2510,2500,2000,2,Professionals,0,0
Other Health Diagnostic and Promotion Professionals,5589,2519,2510,2500,2000,2,Professionals,0,0.5
"Health Therapy Professionals, nfd",182,2520,2520,2500,2000,2,Professionals,0.12927729761079598,0.2987353769114339
Chiropractors and Osteopaths,5285,2521,2520,2500,2000,2,Professionals,0,0
Complementary Health Therapists,6345,2522,2520,2500,2000,2,Professionals,0,0
Dental Practitioners,13130,2523,2520,2500,2000,2,Professionals,0,0
Occupational Therapists,12352,2524,2520,2500,2000,2,Professionals,0,0.5
Physiotherapists,20746,2525,2520,2500,2000,2,Professionals,0,0.5
Podiatrists,3696,2526,2520,2500,2000,2,Professionals,0,0
Audiologists and Speech Pathologists \ Therapists,9139,2527,2520,2500,2000,2,Professionals,1,0.5
"Medical Practitioners, nfd",1810,2530,2530,2500,2000,2,Professionals,0.03594238030861032,0
General Practitioners and Resident Medical Officers,54105,2531,2530,2500,2000,2,Professionals,0,0
Anaesthetists,4291,2532,2530,2500,2000,2,Professionals,0,0
Specialist Physicians,7423,2533,2530,2500,2000,2,Professionals,0,0
Psychiatrists,3084,2534,2530,2500,2000,2,Professionals,1,0
Surgeons,5912,2535,2530,2500,2000,2,Professionals,0,0
Other Medical Practitioners,10989,2539,2530,2500,2000,2,Professionals,0,0
"Midwifery and Nursing Professionals, nfd",292,2540,2540,2500,2000,2,Professionals,0.08228508314413696,0.03609464165183776
Midwives,18315,2541,2540,2500,2000,2,Professionals,0,0
Nurse Educators and Researchers,5397,2542,2540,2500,2000,2,Professionals,1,1
Nurse Managers,16059,2543,2540,2500,2000,2,Professionals,1,0.25
Registered Nurses,220981,2544,2540,2500,2000,2,Professionals,0,0
"ICT Professionals, nfd",18822,2600,2600,2600,2000,2,Professionals,1,1
"Business and Systems Analysts, and Programmers, nfd",952,2610,2610,2600,2000,2,Professionals,1,1
ICT Business and Systems Analysts,23710,2611,2610,2600,2000,2,Professionals,1,1
Multimedia Specialists and Web Developers,9287,2612,2610,2600,2000,2,Professionals,1,1
Software and Applications Programmers,79579,2613,2610,2600,2000,2,Professionals,1,1
"Database and Systems Administrators, and ICT Security Specialists",23678,2621,2620,2600,2000,2,Professionals,1,1
"ICT Network and Support Professionals, nfd",727,2630,2630,2600,2000,2,Professionals,1,1
Computer Network Professionals,20751,2631,2630,2600,2000,2,Professionals,1,1
ICT Support and Test Engineers,10174,2632,2630,2600,2000,2,Professionals,1,1
Telecommunications Engineering Professionals,9030,2633,2630,2600,2000,2,Professionals,1,1
"Legal, Social and Welfare Professionals, nfd",189,2700,2700,2700,2000,2,Professionals,0.7065509033555469,0.7354457691394107
"Legal Professionals, nfd",504,2710,2710,2700,2000,2,Professionals,0.8699443882709808,0.75
Barristers,7037,2711,2710,2700,2000,2,Professionals,1,0.75
Judicial and Other Legal Professionals,9261,2712,2710,2700,2000,2,Professionals,0,0.75
Solicitors,54910,2713,2710,2700,2000,2,Professionals,1,0.75
"Social and Welfare Professionals, nfd",841,2720,2720,2700,2000,2,Professionals,0.6021421389068448,0.7261455864397041
