OCCP - 4 Digit Level,total_working_16
Other Building and Engineering Technicians,20128
"ICT and Telecommunications Technicians, nfd",601
ICT Support Technicians,43740
Telecommunications Technical Specialists,4843
"Automotive and Engineering Trades Workers, nfd",4885
"Automotive Electricians and Mechanics, nfd",431
Automotive Electricians,6876
Motor Mechanics,86592
"Fabrication Engineering Trades Workers, nfd",281
"Metal Casting, Forging and Finishing Trades Workers",2436
Sheetmetal Trades Workers,5314
Structural Steel and Welding Trades Workers,58981
"Mechanical Engineering Trades Workers, nfd",398
Aircraft Maintenance Engineers,12706
Metal Fitters and Machinists,80197
Precision Metal Trades Workers,6111
Toolmakers and Engineering Patternmakers,2793
"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters, nfd",1145
Panelbeaters,11118
Vehicle Body Builders and Trimmers,4898
Vehicle Painters,9440
"Construction Trades Workers, nfd",1854
"Bricklayers, and Carpenters and Joiners, nfd",1277
Bricklayers and Stonemasons,23744
Carpenters and Joiners,101882
"Floor Finishers and Painting Trades Workers, nfd",68
Floor Finishers,8133
Painting Trades Workers,42201
"Glaziers, Plasterers and Tilers, nfd",113
Glaziers,8616
Plasterers,26662
Roof Tilers,5759
Wall and Floor Tilers,17784
Plumbers,70706
"Electrotechnology and Telecommunications Trades Workers, nfd",4379
Electricians,115152
"Electronics and Telecommunications Trades Workers, nfd",713
Airconditioning and Refrigeration Mechanics,18749
Electrical Distribution Trades Workers,7497
Electronics Trades Workers,23354
Telecommunications Trades Workers,18449
"Food Trades Workers, nfd",121
Bakers and Pastrycooks,24693
Butchers and Smallgoods Makers,15819
Chefs,80719
Cooks,42099
"Skilled Animal and Horticultural Workers, nfd",14
"Animal Attendants and Trainers, and Shearers, nfd",63
Animal Attendants and Trainers,14784
Shearers,2842
Veterinary Nurses,9386
"Horticultural Trades Workers, nfd",390
Florists,5274
Gardeners,55186
Greenkeepers,12308
Nurserypersons,2700
"Other Technicians and Trades Workers, nfd",439
Hairdressers,54420
"Printing Trades Workers, nfd",396
